date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:29	93107/93107	---M-Z	200	added ('OK')	application/javascript	etag:%2216bb3-55498efb0b5c6-gzip%22	https://www.co-opbank.co.ke/campaigns/sites/all/modules/jquery_update/replace/jquery/1.10/jquery.min.js?v=1.10.2	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/modules/jquery_update/replace/jquery/1.10/jquery.min468f.js	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:29	2974/2974	---M-Z	200	added ('OK')	application/javascript	etag:%22b9e-5623dd1fe03a6-gzip%22	https://www.co-opbank.co.ke/campaigns/misc/jquery.once.js?v=1.2	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/misc/jquery.once7839.js	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:29	18907/18907	---M-Z	200	added ('OK')	application/javascript	etag:%2249db-5623dd0fcd025-gzip%22	https://www.co-opbank.co.ke/campaigns/misc/drupal.js?p29ze5	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/misc/drupal096b.js	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:29	2460/2460	---M-Z	200	added ('OK')	application/javascript	etag:%2299c-5623dd1b57198-gzip%22	https://www.co-opbank.co.ke/campaigns/misc/form.js?v=7.56	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/misc/formdf1a.js	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:29	27401/27401	---M-Z	200	added ('OK')	application/javascript	etag:%226b09-5623dac46f5d9-gzip%22	https://www.co-opbank.co.ke/campaigns/sites/all/modules/webform/js/webform.js?p29ze5	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/modules/webform/js/webform096b.js	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:30	1321/1321	---M-Z	200	added ('OK')	application/javascript	etag:%22529-554988782fff1-gzip%22	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/browserselector.js?p29ze5	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/browserselector096b.js	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:31	268380/268380	---MCZ	200	added ('OK')	application/javascript	etag:%224185c-55498884f8723-gzip%22	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/jquery-1.9.1.js?p29ze5	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/jquery-1.9.1096b.js	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:31	236736/236736	---MCZ	200	added ('OK')	application/javascript	etag:%2239cc0-554988868fabe-gzip%22	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/jquery-ui-1.9.2.js?p29ze5	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/jquery-ui-1.9.2096b.js	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:31	42630/42630	---M-Z	200	added ('OK')	application/javascript	etag:%22a686-55498890a89f9-gzip%22	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/jquery.validate.js?p29ze5	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/jquery.validate096b.js	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:31	16494/16494	---M-Z	200	added ('OK')	application/javascript	etag:%22406e-5549888be2f2b-gzip%22	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/jquery.sidr.js?p29ze5	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/jquery.sidr096b.js	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
